키,몸무게,BMI 판정,timestamp
173,85,"당신의 BMI 지수는 키 : 173, 몸무게 : 85, 판정 : 비만",2026-05-15 16:47:09.270006
173,85,"당신의 BMI 지수는 키 : 173, 몸무게 : 85, 판정 : 비만",2026-05-15 16:47:10.782534
173,85,"당신의 BMI 지수는 키 : 173, 몸무게 : 85, 판정 : 비만",2026-05-15 16:47:12.258788
200,85,"당신의 BMI 지수는 키 : 200, 몸무게 : 85, 판정 : 정상체중",2026-05-15 16:47:27.687789
200,85,"당신의 BMI 지수는 키 : 200, 몸무게 : 85, 판정 : 정상체중",2026-05-15 16:50:13.135872
200,1090,"당신의 BMI 지수는 키 : 200, 몸무게 : 85, 판정 : 정상체중",2026-05-15 16:50:16.877887
200,1090,"당신의 BMI 지수는 키 : 200, 몸무게 : 85, 판정 : 정상체중",2026-05-15 16:50:18.833742
,,,2026-05-15 16:50:23.320214
,,,2026-05-15 16:50:24.862371
,,,2026-05-15 16:50:26.797623
124,21,,2026-05-15 16:50:29.805917
